Publication,Round ID,Round Desc/town,Redelivery cut off time M-F,Redelivery cut off time Sat,Redelivery cut off Sun,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005002,UPPER HUTT RUN 2 (TINA/MIKE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005003,UPPER HUTT RUN 3 (MURRAY),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005004,UPPER HUTT RUN 4 (ANDREW),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005006,UPPER HUTT RUN 6 (VASA),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005007,UPPER HUTT RUN 7 (TERYL),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005008,UPPER HUTT RUN 8 (MIKE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005009,UPPER HUTT RUN 9 (PENANI),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005010,UPPER HUTT RUN 10(MINESH),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005012,U/HUTT RUN 12 (SAVELIO),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005001,LOWER HUTT RUN 1 ANNA,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005002,LOWER HUTT RUN 2 (KUI),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005003,LOWER HUTT RUN 3 (KUSMA),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005004,LOWER HUTT RUN 4 ROSS,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005005,LOWER HUTT RUN 5 - BHIKU,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005006,LOWER HUTT RUN 6 (JOHN NEHO),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005007,LOWER HUTT RUN 7 (JACK),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005008,LOWER HUTT RUN 8 (TP),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005009,LOWER HUTT RUN 9 (MONE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005010,LOWER HUTT RUN 10 (BIPIN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D045005011,LOWER HUTT RUN 11 (BRIAN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
